leafLengthCm,leafWidthCm,Species
11.2,1.3,Alstroemeriaceae
9.4,1.4,Alstroemeriaceae
10.6,1.9,Alstroemeriaceae
10.4,1.8,Alstroemeriaceae
10.8,1.3,Alstroemeriaceae
10.7,1.4,Alstroemeriaceae
10.6,1.2,Alstroemeriaceae
10.9,1.4,Alstroemeriaceae
11.0,1.4,Alstroemeriaceae
10.3,1.0,Alstroemeriaceae
9.2,1.0,Alstroemeriaceae
13.7,4.1,Orange-lily
11.7,2.1,Orange-lily
14.2,4.2,Orange-lily
11.6,2.9,Orange-lily
13.7,3.9,Orange-lily
13.2,3.8,Orange-lily
14.1,3.9,Orange-lily
14.0,3.8,Orange-lily
12.1,3.0,Cinnamomum-osmophloeum
13.4,3.6,Cinnamomum-osmophloeum
14.4,3.9,Cinnamomum-osmophloeum
15.5,3.8,Cinnamomum-osmophloeum
14.6,3.5,Cinnamomum-osmophloeum
14.8,3.8,Cinnamomum-osmophloeum
16.1,4.0,Cinnamomum-osmophloeum
14.1,3.8,Cinnamomum-osmophloeum
15.2,3.8,Cinnamomum-osmophloeum
14.1,4.0,Cinnamomum-osmophloeum
13.6,3.3,Cinnamomum-osmophloeum
16.6,4.0,Cinnamomum-osmophloeum
15.9,4.0,Cinnamomum-osmophloeum
15.1,4.0,Cinnamomum-osmophloeum
15.4,4.0,Cinnamomum-osmophloeum
